,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
0,tt0013257,Häxan,Häxan,1922,\N,91,13679.0,True
1,tt0013556,Robin Hood,,1922,\N,143,2178.0,True
2,tt0014341,Our Hospitality,Our Hospitality,1923,\N,65,10911.0,True
3,tt0014538,Three Ages,,1923,\N,63,4312.0,True
4,tt0017925,The General,,1926,\N,67,87784.0,True
5,tt0018192,Napoleon,Napoléon vu par Abel Gance,1927,\N,330,7622.0,True
6,tt0018526,Úndérwớrld,,1927,\N,80,2912.0,True
7,tt0018806,The Crowd,The Crowd,\N,1928,98,8197.0,True
8,tt0019788,Coquette,Coquette,\N,1929,76,2127.0,False
9,tt0023871,Á Sớng ớf Lisbớn,A Canção de Lisboa,1933,\N,85,1432.0,True
10,tt0023969,Dúck Sớúp,Duck Soup,1933,\N,69,59069.0,True
11,tt0025410,Little Miss Marker,Little Miss Marker,1934,\N,80,1277.0,True
12,tt0026529,The Informer,The Informer,\N,1935,91,6255.0,True
13,tt0027914,Love on the Run,,1936,\N,80,1219.0,False
14,tt0028212,Sabotage,Sabotage,1936,\N,76,16166.0,True
15,tt0028249,Show Boat,,1936,\N,113,3236.0,True
16,tt0028944,The Good Earth,The Good Earth,\N,1937,138,4801.0,True
17,tt0029146,The Life of Emile Zola,The Life of Emile Zola,1937,\N,116,,True
18,tt0029314,Humanity and Paper Balloons,,1937,\N,86,1995.0,True
19,tt0029995,Thé Citádél,,1938,\N,110,2066.0,True
20,tt0031334,The Four Feathers,,1939,\N,129,5917.0,True
21,tt0031398,Gunga Din,,1939,\N,117,11628.0,True
22,tt0032181,Abe Lincoln in Illinois,,1940,\N,110,1792.0,True
23,tt0033774,Johnny Eager,,1941,\N,107,2986.0,True
24,tt0034241,Sun Valley Serenade,Sun Valley Serenade,1941,\N,86,1552.0,True
25,tt0034493,The Children Are Watching Us,I bambini ci guardano,1944,\N,84,2653.0,True
26,tt0034521,Black Dragons,,1942,\N,64,,False
27,tt0034798,The Glass Key,,1942,\N,85,6214.0,True
28,tt0035093,Mrs. Miniver,,1942,\N,134,17125.0,True
29,tt0035432,This Gún fớr Hiré,,1942,\N,81,9003.0,True
30,tt0035640,The Ape Man,,1943,\N,64,1287.0,False
31,tt0036230,Old Acquaintance,,\N,1943,110,3399.0,True
32,tt0036775,Double Indemnity,Double Indemnity,1944,\N,107,151373.0,True
33,tt0037008,Laura,Laura,1944,\N,88,45504.0,True
34,tt0037059,Meet Me in St. Louis,Meet Me in St. Louis,1944,\N,113,22805.0,True
35,tt0037075,Ministry of Fear,Ministry of Fear,1944,\N,86,7600.0,True
36,tt0038000,Pride of the Marines,,1945,\N,120,1435.0,True
37,tt0038120,Story of G.I. Joe,Story of G.I. Joe,1945,\N,108,3217.0,True
38,tt0038238,Johnny in the Clouds,The Way to the Stars,1945,\N,109,1485.0,True
39,tt0038387,The Brute Man,,1946,\N,58,1376.0,False
40,tt0038589,The Harvey Girls,The Harvey Girls,1946,\N,102,3941.0,True
41,tt0039074,Utamaro and His Five Women,,1946,\N,106,1250.0,True
42,tt0039286,Crossfire,,1947,\N,86,8262.0,True
43,tt0039502,It Happened on Fifth Avenue,,1947,\N,116,4432.0,True
44,tt0039566,Lifé with Fáthér,,1947,\N,118,5222.0,True
45,tt0039651,Record of a Tenement Gentleman,,1947,\N,72,,True
46,tt0039768,Ride the Pink Horse,,1947,\N,101,2926.0,True
47,tt0039822,Le Silence de la Mer,Le silence de la mer,1949,\N,87,4782.0,True
48,tt0040308,Easter Parade,Easter Parade,1948,\N,103,9453.0,True
49,tt0040506,Key Largo,Key Largo,1948,\N,100,39422.0,True
50,tt0041113,All the King's Men,All the King's Men,1949,\N,110,14494.0,True
51,tt0041546,Kind Hearts and Coronets,,\N,1949,106,36381.0,True
52,tt0042436,Les Enfants Terribles,Les enfants terribles,1950,\N,105,,True
53,tt0045009,Park Row,,1952,\N,83,1683.0,True
54,tt0045251,Othello,,1951,\N,90,8369.0,True
55,tt0045551,Beneath the 12-Mile Reef,,1953,\N,102,1368.0,False
56,tt0045848,Sawdust and Tinsel,,\N,1953,93,6558.0,True
57,tt0045911,Inferno,Inferno,1953,\N,83,1419.0,True
58,tt0046008,Thé Living Désért,The Living Desert,1953,\N,69,1459.0,True
59,tt0046040,Man on a Tightrope,,1953,\N,105,1456.0,True
60,tt0046264,Sadko,,1953,\N,85,1071.0,False
61,tt0046446,Torch Song,,1953,\N,90,,False
62,tt0046998,French Cancan,French Cancan,1955,\N,102,4009.0,True
63,tt0047123,It Should Happen to You,,1954,\N,86,3807.0,True
64,tt0047437,Sabrina,,1954,\N,113,62736.0,True
65,tt0047522,A Star Is Born,,\N,1954,154,17231.0,True
66,tt0047849,Bad Day at Black Rock,Bad Day at Black Rock,1955,\N,81,20848.0,True
67,tt0048140,Guys and Dolls,,1955,\N,150,16921.0,True
68,tt0048613,Shree 420,Shree 420,1955,\N,168,2720.0,True
69,tt0049103,The Creature Walks Among Us,,1956,\N,78,3430.0,False
70,tt0049261,Giant,Giant,1956,\N,201,37368.0,True
71,tt0049794,The Flying Carpet,Starik Khottabych,1957,\N,86,1297.0,True
72,tt0049829,Tea and Sympathy,Tea and Sympathy,1956,\N,122,2668.0,True
73,tt0050322,Do Ankhen Barah Haath,,1957,\N,143,1772.0,True
74,tt0050490,"Heaven Knows, Mr. Allison",,1957,\N,107,,True
75,tt0050546,The Invisible Boy,,1957,\N,90,1415.0,False
76,tt0050986,Wild Strawberries,,1957,\N,91,103346.0,True
77,tt0051993,Night ớf thé Blớớd Béást,,1958,\N,62,2028.0,False
78,tt0052046,The Philosopher's Stone,Parash Pathar,1958,\N,111,1158.0,True
79,tt0052131,The Return of Dracula,,1958,\N,77,1319.0,False
80,tt0052279,Teenage Cave Man,Teenage Cave Man,1958,\N,65,1537.0,False
81,tt0052698,Classe Tous Risques,Classe tous risques,1960,\N,110,3575.0,True
82,tt0053137,On the Beach,,1959,\N,134,12677.0,True
83,tt0053250,First Spaceship on Venus,Der schweigende Stern,1960,\N,93,2820.0,False
84,tt0053285,Slééping Béáúty,Sleeping Beauty,1959,\N,75,143102.0,True
85,tt0053337,Teenagers from Outer Space,Teenagers from Outer Space,1959,\N,86,3388.0,False
86,tt0053434,Warlock,Warlock,1959,\N,121,5998.0,True
87,tt0053472,Breathless,À bout de souffle,1960,\N,90,78150.0,True
88,tt0053746,The Lady with the Dog,,1960,\N,83,,True
89,tt0053976,The Virgin Spring,,1960,\N,89,28302.0,True
90,tt0054119,Innocent Sorcerers,Niewinni czarodzieje,1960,\N,87,1283.0,True
91,tt0054731,Cash on Demand,Cash on Demand,1961,\N,89,2088.0,True
92,tt0054923,Gidgét Gớés Háwáiián,Gidget Goes Hawaiian,1961,\N,101,1022.0,False
93,tt0055277,The Parent Trap,,1961,\N,129,20633.0,True
94,tt0055539,Town Without Pity,,1961,\N,105,1791.0,True
95,tt0055597,Victim,,1961,\N,90,5810.0,True
